duration,time,P,T,Td,RH,U,V,WS,WD,dZ,geoALT,LON,LAT,GPS_Z,q,rad
96.0,2021-09-05 14:02:03.000001,967.264375,29.15,23.813581390429196,73.0,-3.815750792173392,0.16793378524184374,3.8194444444444438,92.51999999999998,1.5675274371021715,414.33210392320336,121.76124,24.81662,417.2,18.3862664660962,1101.734934892583
97.0,2021-09-05 14:02:04.000001,967.021328,29.12,23.807500359762972,73.1,-6.290669703028566,0.11200058858291258,6.291666666666666,91.01999999999998,2.192389319486665,416.52449324269,121.76118999999998,24.81662,419.02,18.384287123705136,1101.7354975228498
98.0,2021-09-05 14:02:05.000001,966.71875,29.08,23.904963348488476,73.7,-4.241422455331424,-0.4091496751128138,4.261111111111111,84.49000000000002,2.7268588625548773,419.2513521052449,121.76114,24.81662,421.32,18.49830917654679,1101.7360601523299
99.0,2021-09-05 14:02:06.000001,966.256328,29.05,23.898647164779128,73.8,-5.441650421935448,-0.013296486786983657,5.441666666666666,89.86000000000001,4.199658861267324,423.45101096651223,121.7611,24.81661,424.38,18.500264537983753,1101.7365670177353
100.0,2021-09-05 14:02:07.000001,965.945156,29.0,23.669403823714692,73.0,-6.541044852728873,0.09019430340610436,6.541666666666668,90.79000000000002,2.7957531320262206,426.24676409853845,121.76104,24.81661,427.65,18.252935560188238,1101.7372421713753
101.0,2021-09-05 14:02:08.000001,965.722031,28.96,23.49401264996209,72.4,-9.075392872730585,0.6298383650466921,9.097222222222221,93.97000000000004,2.000338992799243,428.2471030913377,121.76096,24.81662,430.04,18.065383255495163,1101.7380856119557
102.0,2021-09-05 14:02:09.000001,965.4523429999999,28.92,23.432690211295256,72.3,-8.797686990672226,2.3260919186817755,9.1,104.81,2.4264766083247196,430.6735796996624,121.76087,24.81663,432.73,18.00389065325432,1101.739041575322
103.0,2021-09-05 14:02:10.000001,965.182968,28.89,23.334995106363362,72.0,-4.881950889841433,1.6571990211185217,5.155555555555555,108.75,2.434255706924887,433.1078354065873,121.76081,24.81665,435.93,17.90318094997494,1101.7396031990502
104.0,2021-09-05 14:02:11.000001,965.142031,28.86,23.306208206466483,72.0,-10.610199280186064,-0.3705163233248864,10.616666666666664,88.0,0.34293066383099813,433.4507660704183,121.76073,24.81666,437.02,17.872977821713,1101.740446633215
105.0,2021-09-05 14:02:12.000001,965.119843,28.84,23.1716754467853,71.5,-7.282290476107749,4.532826604507241,8.577777777777778,121.89999999999998,0.18187044301771493,433.632636513436,121.76064,24.81668,436.88,17.728795331077936,1101.7413458264011
106.0,2021-09-05 14:02:13.000001,965.0623429999999,28.81,23.02688840164594,71.0,-8.175583245159444,3.164535202192037,8.766666666666666,111.16000000000004,0.4944507386413761,434.1270872520774,121.76056,24.81672,437.13,17.575409568643735,1101.742018966284
107.0,2021-09-05 14:02:14.000001,964.948515,28.81,23.003597600225213,70.9,-6.373865225445533,3.4607264528828825,7.252777777777778,118.5,1.04203343747389,435.1691206895513,121.7605,24.81675,437.92,17.552725794599155,1101.7425238191422
108.0,2021-09-05 14:02:15.000001,964.518359,28.71,23.208168994760406,72.2,-7.030882605019915,3.746260478424607,7.966666666666668,118.05,3.8308514417604442,438.9999721313117,121.76029,24.81683,440.58,17.779583423763444,1101.7444326999973
108.0,2021-09-05 14:02:15.000001,964.81664,28.78,23.044636649439518,71.2,-8.576741431314868,1.5555655557207382,8.716666666666667,100.27999999999996,-2.6556133664246317,436.3443587648871,121.76042,24.81678,438.62,17.598902303269597,1101.7432537171226
109.0,2021-09-05 14:02:16.000001,964.635312,28.75,23.154632845735552,71.8,-5.79814488169791,1.8861693343920172,6.097222222222222,108.01999999999998,1.6279505987806715,437.97230936366776,121.76036,24.8168,439.45,17.71982412859169,1101.7438153297246
111.0,2021-09-05 14:02:18.000001,964.432812,28.69,23.16603923180195,72.1,-5.600296066983649,2.99907810100948,6.352777777777778,118.17000000000002,1.7892972435749357,439.7616066072427,121.76023,24.81686,441.68,17.73603149821808,1101.7449375453227
112.0,2021-09-05 14:02:19.000001,964.321171,28.66,23.16017291391577,72.2,-5.238679445708321,2.2463832409259923,5.7,113.20999999999998,0.9896618438521045,440.7512684510948,121.76018,24.81688,443.28,17.73192797628502,1101.7453866304757
