duration,time,P,T,RH,WS,WD,LON,LAT,GPS_Z,IF
132.0,2021-09-05 14:02:39.000001,961.385468,28.41,72.2,9.352777777777778,109.69999999999999,121.7589,24.81737,468.93,1.0
133.0,2021-09-05 14:02:40.000001,961.09,28.4,72.2,6.791666666666666,114.61000000000001,121.75883,24.8174,472.02,1.0
134.0,2021-09-05 14:02:41.000001,960.751562,28.39,72.2,9.530555555555557,110.32999999999998,121.75876000000001,24.817429999999998,475.69,1.0
135.0,2021-09-05 14:02:42.000001,960.340312,28.39,72.2,5.9527777777777775,119.00999999999999,121.7587,24.81746,479.11,1.0
136.0,2021-09-05 14:02:43.000001,959.19164,28.36,72.4,7.777777777777778,100.30000000000001,121.75851999999999,24.81755,490.15,1.0
136.0,2021-09-05 14:02:43.000001,959.985468,28.37,72.3,7.991666666666666,109.38,121.75863999999999,24.81749,482.93,1.0
137.0,2021-09-05 14:02:44.000001,959.558125,28.36,72.4,6.436111111111112,125.02999999999997,121.75858000000001,24.817529999999998,486.67,1.0
139.0,2021-09-05 14:02:46.000001,958.873203,28.34,72.5,5.4,104.77999999999997,121.75846000000001,24.81757,493.57,1.0
140.0,2021-09-05 14:02:47.000001,958.597656,28.35,73.7,7.3277777777777775,85.69999999999999,121.7584,24.81758,496.69,1.0
141.0,2021-09-05 14:02:48.000001,958.307343,28.34,74.4,5.336111111111111,103.32,121.75833999999999,24.81759,499.63,1.0
142.0,2021-09-05 14:02:49.000001,957.9271869999999,28.32,74.9,6.894444444444444,104.64999999999998,121.75828999999999,24.817610000000002,502.78,1.0
143.0,2021-09-05 14:02:50.000001,957.6346869999999,28.33,74.6,6.916666666666666,118.80000000000001,121.75823000000001,24.81764,506.15,1.0
144.0,2021-09-05 14:02:51.000001,957.248906,28.33,74.2,6.841666666666666,111.5,121.75816,24.81766,509.76,1.0
145.0,2021-09-05 14:02:52.000001,957.0146869999999,28.31,73.7,8.838888888888889,130.13,121.7581,24.8177,512.32,1.0
